Blog	hands	support	ask	customers	questions	doesn	anyone	our	job	hard	way	able	work	know	making	most	often	never	met	m	going	make	even	mean	part	personal	experience	made	times	those	still	ways	china	us	working	hours	per	week	works	question	run	company	write	should	product	too	listen	learn	same	used	itself	great	always	kind	design	small	also	says	huge	front	must	thing	wouldn	really	would	come	then	trying	d	say	such	back	took	twitter	his	others	own	stories	before	long	something	down	today	released	episode	into	apple	keep	only	number	problems	getting	better	fact	many	problem	makes	isn	start	these	comes	might	did	order	code	red	aren	online	feel	security	team	wrote	blog	post	data	using	access	morning	another	book	good	news	won	age	users	least	school	every	why	course	seem	well	seems	didn	things	different	students	probably	less	while	bad	little	bit	rather	go	think	happy	easter	house	late	night	saturday	real	see	plan	asked	america	report	her	she	talking	point	enough	white	friday	friend	reading	sometimes	far	yet	buy	page	written	together	five	women	research	interview	special	until	putting	line	fire	said	war	children	who	them	u	want	impeachment	read	mueller	through	let	its	lives	believe	deep	country	side	trump	full	may	already	administration	need	once	again	example	both	third	level	take	whole	almost	anything	does	days	talk	find	answer	because	he	power	chance	stuff	thought	public	two	end	right	next	service	between	cars	along	worth	very	use	features	car	legal	whatever	driving	old	without	being	turn	happen	step	learning	maybe	few	weeks	update	big	important	reason	off	having	help	much	change	second	doing	set	entire	couple	including	via	com	april	man	since	nbsp	years	view	pay	against	billion	recent	knew	president	three	last	gift	list	any	everything	high	easy	nothing	given	me	appeared	case	co	him	global	weekend	short	friends	recently	share	favorite	sure	built	try	official	cost	six	left	ten	death	however	especially	someone	else	photos	san	art	giving	four	social	media	possible	launch	matter	early	starting	haven	place	best	love	type	ll	put	machine	whether	turned	though	google	app	called	went	live	games	actually	am	posts	past	future	phone	services	show	release	source	were	idea	website	top	tech	site	later	similar	across	technology	link	yourself	text	web	group	b	each	goes	process	pick	based	members	current	look	home	thanks	free	around	open	could	create	add	user	where	added	screen	fun	happens	saw	yesterday	name	smart	living	likely	perhaps	search	results	wrong	links	hand	simple	photo	record	game	needed	ago	street	world	thrones	everyone	gets	ready	dead	seven	characters	spend	john	universe	building	lot	happened	space	york	city	law	large	tv	during	image	camera	system	version	available	events	editor	according	facebook	series	sunday	save	c	donald	began	decade	latest	outside	year	ever	season	told	state	network	robert	creating	original	sign	face	away	instead	event	stop	whose	boy	edition	netflix	watch	close	content	visit	leaving	hot	kids	music	play	call	office	started	cover	decided	amp	saying	got	email	college	business	seen	wasn	earth	head	finally	following	e	response	project	heart	human	tools	taking	family	life	light	tell	means	videos	youtube	check	calls	stay	miss	science	inspired	found	needs	give	changed	shows	companies	build	behind	key	platforms	director	information	center	understand	video	looking	helping	please	black	created	became	million	local	person	th	pretty	coachella	provide	amazing	remember	months	internet	rules	continue	quite	worked	dogs	attacks	running	done	follow	become	language	within	review	helped	led	nearly	under	word	reasons	hope	month	water	story	readers	seattle	james	among	notes	amazon	cut	earlier	spent	speaking	wanted	piece	worst	self	sense	felt	failure	writing	article	super	money	terms	writers	tells	explain
The Dish	0	2	0	0	1	1	2	6	1	1	0	1	3	7	0	5	2	2	3	1	2	2	5	0	3	1	0	2	1	3	2	0	0	3	0	0	0	1	0	2	0	0	0	4	0	1	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	7	0	1	1	0	3	1	0	11	1	1	0	1	7	0	1	1	1	0	1	0	1	3	1	0	0	2	1	3	1	0	1	0	5	0	1	2	0	0	0	0	0	0	0	0	1	6	4	0	0	0	2	2	4	0	2	1	1	0	2	0	1	5	0	1	1	0	3	3	1	0	2	1	0	1	2	0	1	3	1	0	0	2	0	0	0	1	0	0	0	2	0	1	1	0	0	1	0	0	1	35	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	4	3	0	5	0	3	1	0	11	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	1	0	1	0	0	0	2	2	1	1	3	0	3	0	2	1	1	3	0	1	0	1	0	0	1	1	1	0	0	2	0	0	3	2	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	2	0	0	1	0	2	0	1	0	1	0	1	2	0	12	2	0	1	1	1	1	1	1	3	1	0	1	0	1	0	2	0	11	0	1	0	0	0	1	4	1	4	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	1	0	7	0	3	0	0	0	0	1	0	0	0	1	1	0	0	2	4	3	0	0	0	0	0	1	1	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	1	0	0	5	2	1	0	0	0	0	0	0	0	0	0	3	0	0	2	2	2	0	1	0	1	0	2	2	1	2	0	2	0	8	0	0	0	0	0	3	0	0	1	2	0	0	0	0	0	0	0	0	1	2	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	2	3	0	3	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	1	2	0	0	1	0	4	2	0	0	0	0	1	0	2	0	3	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	1	0	0	1	1	0	0	0	1	1	0	2	0	3	0	2	0	1	0	1	0	0	0	0	0	1	0	3	0	33	1	0	1	0	0	0	1	2	1	0	0	0	1	0	2	1	0	4	0	0	4	9	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	1	3	0	0	1	0	1	0	0
WIL WHEATON dot NET	0	0	0	0	1	3	2	9	0	10	7	6	9	17	6	11	1	4	0	31	12	13	8	2	10	0	2	10	2	3	5	2	0	2	11	4	0	6	1	1	0	0	2	7	0	3	2	0	1	1	0	3	8	9	1	2	4	0	1	1	0	7	3	9	16	3	4	6	8	4	3	16	5	0	4	0	3	5	9	6	12	10	3	0	5	15	0	4	6	2	1	2	8	0	2	0	3	4	2	5	1	0	8	0	0	3	2	0	18	0	0	2	0	7	0	0	2	2	6	0	17	1	0	5	0	1	0	11	4	1	1	5	1	4	7	1	0	5	0	5	1	6	3	1	5	16	1	0	2	0	8	0	4	10	0	4	0	0	5	11	0	3	5	1	2	5	2	0	2	1	2	2	2	0	2	0	0	0	1	5	0	2	1	7	0	1	23	13	0	8	0	3	0	5	4	4	2	1	0	1	0	0	3	1	7	0	3	1	4	0	4	0	1	7	0	3	2	2	3	1	2	2	24	18	0	1	4	5	0	1	5	8	4	0	1	0	3	1	2	2	0	0	0	2	0	6	6	11	0	0	1	1	6	5	6	0	8	4	0	3	2	1	11	0	3	13	4	4	1	0	0	0	0	3	10	2	8	0	0	2	0	2	1	0	0	11	3	0	6	9	1	0	3	1	61	0	1	0	7	0	0	1	5	1	4	1	3	0	5	0	1	1	2	4	0	1	2	8	2	2	0	2	3	1	3	2	1	0	2	3	0	5	4	15	9	0	6	2	0	0	1	3	0	0	5	4	1	0	1	13	2	2	1	1	0	10	0	0	13	1	0	0	0	0	6	0	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	5	3	2	1	7	1	6	0	2	0	5	1	0	5	2	2	2	1	0	2	2	0	0	0	2	0	0	0	0	0	5	3	6	2	12	0	6	3	2	2	2	2	6	2	1	0	5	1	2	0	0	0	0	0	1	3	2	0	8	2	0	4	0	5	3	0	0	0	0	0	0	0	3	2	12	3	3	0	0	0	1	0	0	3	1	3	0	1	2	0	0	4	0	3	0	0	0	1	4	0	2	2	4	4	0	2	0	0	15	0	0	0	2	5	0	3	6	0	0	0	2	2	0	0	0	8	13	4	4	2	0	0	1	0	0	2	2	1	2	3	3	2	1	0	0	4	1	0	0	0	1	0	1	1	0	1	2	3	2	0	0	7	2	4	0	0	2	2	8	0	0	0	0	1	2	0	0	5	0	0	0	0	0	0	0	2	1	0	0	3	0	5	16	0	0	0	0	0	0	1	0	3	2	6	0	2	3	0	7	0	5	0	1	2	1	2	0	0
43 Folders	4	3	9	3	0	18	14	35	19	16	36	1	59	40	11	41	19	26	2	47	7	45	50	7	17	4	4	28	3	27	20	5	0	21	7	4	0	11	0	3	6	2	3	16	4	14	3	11	9	6	6	14	20	9	10	2	27	13	7	3	1	33	4	77	20	5	25	10	45	21	6	25	2	4	28	4	13	2	13	21	23	9	13	1	4	21	1	10	22	9	3	11	27	9	20	15	5	0	11	24	5	16	13	8	1	4	4	1	7	0	2	2	5	2	3	8	0	7	10	25	26	1	10	0	5	11	0	12	32	2	4	24	2	8	55	7	2	8	16	10	6	28	7	8	21	31	6	1	2	5	5	2	19	18	2	1	1	0	17	29	4	21	15	0	2	5	13	15	7	6	5	4	16	3	4	0	0	9	5	15	0	3	0	14	0	1	70	22	0	26	0	43	0	7	17	9	2	9	0	0	4	0	7	15	13	0	21	4	10	0	8	2	3	10	4	13	14	5	7	22	10	2	57	39	7	3	27	10	1	10	7	24	3	3	3	2	1	5	29	11	2	3	0	13	0	10	12	17	5	3	4	6	14	13	1	4	25	13	5	13	11	30	37	13	8	16	3	1	7	8	1	17	3	7	5	1	16	4	3	4	0	2	2	0	3	13	1	3	38	12	0	5	7	3	82	0	3	0	12	0	0	3	5	1	4	10	10	2	18	0	0	4	2	2	4	1	8	7	7	0	2	3	3	5	1	2	5	0	8	4	5	3	7	14	15	6	37	3	1	14	3	2	2	8	3	2	8	0	14	14	2	8	8	1	3	4	0	1	16	6	1	2	0	2	5	1	0	3	2	15	4	10	0	6	13	10	2	2	2	0	1	5	6	13	8	10	4	24	0	1	0	20	0	1	3	3	1	1	3	4	12	4	3	0	2	6	2	3	7	2	1	2	3	3	1	13	0	8	13	8	1	1	1	2	15	9	3	39	2	1	1	0	1	3	4	2	0	0	4	3	5	2	18	0	1	0	0	2	0	1	0	2	0	5	14	26	0	6	0	4	0	0	2	0	5	7	4	4	11	2	1	2	0	6	2	1	4	1	5	1	0	6	3	0	2	3	18	11	11	2	11	2	8	1	2	0	1	6	2	3	1	3	4	4	5	1	4	32	1	17	11	0	0	2	1	6	2	0	1	1	4	4	0	0	2	2	2	2	0	0	6	0	14	14	2	6	16	1	0	1	0	0	8	1	11	0	1	1	6	4	3	2	4	5	5	0	0	4	10	0	12	0	2	1	2	1	5	20	3	2	20	2	5	6	2	0	2	2	2	1	1	2	2	2	5	0	3	9	4	1	4	4	4	2	5	3	2	5	3
456 Berea Street	0	1	0	0	0	1	1	0	0	0	1	0	1	0	2	3	2	1	0	0	1	5	3	0	1	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	1	1	0	2	2	1	0	0	0	0	0	0	3	0	1	1	1	3	0	0	0	0	0	0	0	1	0	2	1	0	4	0	1	0	1	0	1	1	1	0	1	0	0	4	3	0	3	0	1	1	0	0	1	1	0	0	0	0	0	0	2	0	4	5	3	0	0	0	0	1	1	1	0	0	3	0	2	2	1	0	4	0	1	1	5	0	0	0	2	0	1	2	0	1	3	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	10	0	1	0	7	0	0	0	0	0	0	12	5	1	0	3	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	1	1	1	9	1	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0	1	3	2	1	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	1	0	0	1	3	0	0	1	0	0	2	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	2	0	2	0	0	0	1	1	0	5	4	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0	1	0	1	0	1	0	6	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2
Autoblog	0	0	0	4	3	0	0	40	0	1	0	0	0	0	0	0	0	0	0	3	4	3	0	1	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	3	4	0	0	4	0	1	5	0	0	0	0	0	0	3	1	0	0	0	0	1	3	0	0	3	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	39	1	1	0	0	0	0	3	0	1	3	0	3	1	3	0	3	0	0	0	0	1	3	0	0	0	0	0	0	16	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	39	0	9	1	0	4	0	0	0	3	0	0	0	0	0	0	0	6	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	156	1	0	3	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	39	0	1	0	0	0	0	0	0	0	1	0	2	0	0	1	1	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	3	0	0	13	0	0	0	0	0	5	3	0	0	0	0	2	0	3	0	0	0	0	1	3	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	16	0	0	0	1	3	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	0	3	0	0	0	0	0	3	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	39	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	1	0	39	0	0	0	3	0	0	0	0	0	0	3	0	1	0	0	36	0	0	0	0	0	1	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	39	0	0	0
The Write News	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	1	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	1	1	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	1	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
blog maverick	0	0	0	0	0	0	1	3	0	0	0	1	0	1	0	1	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	3	0	1	2	2	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0	2	3	0	0	0	0	1	1	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	2	1	0	2	0	2	1	2	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	4	0	0	1	0	0	0	0	4	0	0	2	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Boing Boing	0	2	0	7	1	3	2	3	2	1	5	2	0	2	5	5	1	4	0	12	4	6	8	1	1	1	1	4	3	6	6	1	0	4	3	2	3	2	2	0	3	3	1	0	0	1	1	1	5	8	0	2	0	2	4	0	14	2	2	2	1	2	1	4	16	4	15	0	4	5	1	6	2	6	16	1	7	0	3	4	1	2	4	2	0	16	2	0	5	2	1	3	1	1	5	0	4	3	0	8	2	7	2	1	4	0	2	1	0	0	1	0	0	2	2	4	3	0	1	1	5	3	0	0	1	2	1	10	3	1	0	2	1	2	5	3	0	1	2	7	0	4	0	0	2	4	1	0	3	0	1	0	3	2	0	3	2	8	9	8	0	0	1	4	0	0	0	0	2	1	1	2	1	2	0	6	0	0	2	5	3	0	1	4	0	0	23	10	4	4	3	28	5	9	1	12	0	1	4	1	0	19	6	4	1	5	4	5	2	2	4	2	0	4	0	0	3	3	1	3	1	1	9	14	3	1	1	1	2	6	5	9	1	1	1	0	2	1	5	7	0	0	2	1	0	0	1	3	3	0	0	1	0	0	1	0	2	0	2	11	3	1	2	6	2	1	2	2	1	6	0	5	11	2	3	0	2	0	1	1	1	2	1	1	0	1	0	1	12	1	2	3	4	1	2	0	2	1	5	3	3	0	1	0	2	3	5	1	0	0	2	1	4	1	0	2	2	0	0	0	0	0	4	1	2	2	0	0	3	0	1	1	0	5	3	1	1	1	4	2	0	2	0	1	6	0	1	5	0	1	0	0	2	6	0	1	2	3	10	0	0	2	1	0	0	3	3	1	0	1	3	1	0	0	2	0	0	2	0	1	1	0	3	6	3	4	1	0	1	0	1	5	0	3	0	0	2	2	0	2	0	0	2	4	0	1	1	0	1	2	1	11	0	1	0	2	3	0	1	1	0	0	0	0	0	1	0	2	1	0	6	7	2	2	3	2	2	1	2	0	5	1	3	0	1	0	1	6	0	2	2	0	0	1	4	4	0	3	4	2	0	0	1	2	0	2	0	0	6	3	2	0	0	0	1	1	7	1	0	2	2	1	2	0	2	0	0	0	0	6	0	0	1	2	1	0	2	1	0	1	2	1	1	3	1	1	1	0	2	1	3	1	2	1	0	0	0	0	1	5	0	3	0	2	2	5	1	0	2	0	1	3	1	5	0	0	0	5	1	2	1	6	0	4	0	0	1	0	1	0	6	0	0	1	1	0	1	3	3	2	3	2	0	4	1	1	2	7	1	0	3	0	1	2	0	0	2	3	0	1	6	1	0	1	0	5	0	1	0	0	0	0	0	4	3	0	1	1	3
BuzzMachine	0	0	0	0	0	0	0	3	1	0	1	0	1	0	0	2	0	1	2	4	0	2	1	0	0	0	0	1	2	0	1	0	0	1	1	0	0	1	0	0	1	1	0	3	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	1	0	0	0	1	1	7	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	5	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	15	3	1	0	0	0	1	0	4	0	0	1	0	2	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	3	0	0	1	0	0	0	0	4	0	1	2	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	5	0	1	0	0	7	1	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	2	0	0	1	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	1	2	0	0	0	0	0	0	0	1	4	15	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	11	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	1	0	0	2	0	11	0	0	0	0	1	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	4	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	1	0	1	0	0
Captain's Quarters	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	2	0	0	2	0	1	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	2	2	0	0	2	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	6	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	0	2	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0
